country,year,emissions
Reunion,1953.0,0.079606023
Romania,1953.0,1.795181276
Russia,1953.0,4.806683221
Samoa,1953.0,0.082570495
Sao Tome and Principe,1953.0,0.063094378
Saudi Arabia,1953.0,0.141888094
Sierra Leone,1953.0,0.085480048
Slovak Republic,1953.0,6.087338585
Solomon Islands,1953.0,0.033036307
Somalia,1953.0,0.019737628
South Africa,1953.0,4.845230889
Spain,1953.0,1.360924391
Sri Lanka,1953.0,0.239281424
Sudan,1953.0,0.106686792
Suriname,1953.0,1.319095566
Swaziland,1953.0,0.012549428
Sweden,1953.0,4.540284047
Switzerland,1953.0,2.132598843
Syria,1953.0,0.139288023
Taiwan,1953.0,0.732090395
Tanzania,1953.0,0.063808489
Thailand,1953.0,0.07378367
Togo,1953.0,0.020184116
Tonga,1953.0,0.138928357
Trinidad and Tobago,1953.0,4.335407302
Tunisia,1953.0,0.3699061
Turkey,1953.0,0.559437516
Uganda,1953.0,0.037324488
United Kingdom,1953.0,10.63313764
United States,1953.0,15.77902239
Uruguay,1953.0,1.517249908
Venezuela,1953.0,8.353436125
Afghanistan,1954.0,0.012244045
Albania,1954.0,0.375088359
Algeria,1954.0,0.436948757
Angola,1954.0,0.078119825
Argentina,1954.0,1.979804317
Australia,1954.0,7.540080659
Austria,1954.0,3.536324817
Bahamas,1954.0,0.983215386
Bahrain,1954.0,8.159472797
Bangladesh,1954.0,0.031651882
Barbados,1954.0,0.504749979
Belgium,1954.0,9.738211336
Belize,1954.0,0.377860793
Bermuda,1954.0,2.115473055
Bolivia,1954.0,0.267738436
Brazil,1954.0,0.48671358
Brunei,1954.0,5.977631017
Bulgaria,1954.0,1.533947684
Cameroon,1954.0,0.0480303
Canada,1954.0,10.65040098
Cape Verde,1954.0,0.114670531
Chile,1954.0,1.677879846
China,1954.0,0.269519015
Colombia,1954.0,0.716897256
"Congo, Dem. Rep.",1954.0,0.212436146
Costa Rica,1954.0,0.372292646
Cuba,1954.0,0.927548368
Cyprus,1954.0,0.85124236
Denmark,1954.0,5.805326763
Djibouti,1954.0,0.482787881
Dominica,1954.0,0.068293289
Ecuador,1954.0,0.256488071
Egypt,1954.0,0.490694748
El Salvador,1954.0,0.197490718
Equatorial Guinea,1954.0,0.124296945
Ethiopia,1954.0,0.013632156
Faeroe Islands,1954.0,2.44049317
Fiji,1954.0,0.485919132
Finland,1954.0,2.187298961
France,1954.0,5.263118402
French Guiana,1954.0,0.523921793
Gambia,1954.0,0.049834075
Germany,1954.0,9.446009815
Ghana,1954.0,0.180404493
Gibraltar,1954.0,2.624671916
Greece,1954.0,0.645427503
Greenland,1954.0,4.036750154
Grenada,1954.0,0.13851462
Guadeloupe,1954.0,0.320189552
Guatemala,1954.0,0.21101227
Guinea-Bissau,1954.0,0.013160335
Guyana,1954.0,1.009264752
Haiti,1954.0,0.06267592
Honduras,1954.0,0.226861708
"Hong Kong, China",1954.0,0.75940073
Hungary,1954.0,3.485749044
Iceland,1954.0,5.055147059
India,1954.0,0.197530822
Indonesia,1954.0,0.183964246
Iran,1954.0,0.05504625
Iraq,1954.0,0.475875375
Ireland,1954.0,3.123399089
Israel,1954.0,2.647098797
Italy,1954.0,1.359106092
Jamaica,1954.0,0.520817236
Japan,1954.0,1.631799286
Jordan,1954.0,0.414275305
Kenya,1954.0,0.250848654
Kuwait,1954.0,7.396834092
Lebanon,1954.0,0.796378247
Liberia,1954.0,0.105106612
Libya,1954.0,0.274861815
Luxembourg,1954.0,28.99014421
"Macao, China",1954.0,0.118261131
Madagascar,1954.0,0.06512769
Malta,1954.0,0.980379674
Martinique,1954.0,0.383135357
Mauritius,1954.0,0.337948957
Mexico,1954.0,1.155724357
Mongolia,1954.0,0.580738073
Morocco,1954.0,0.363670011
Mozambique,1954.0,0.166902163
Myanmar,1954.0,0.079141866
Nepal,1954.0,0.004585286
Netherlands,1954.0,5.54317717
New Caledonia,1954.0,7.854021792
New Zealand,1954.0,4.345856423
Nicaragua,1954.0,0.216232476
Nigeria,1954.0,0.063237712
Norway,1954.0,2.913341204
Pakistan,1954.0,0.179332549
Panama,1954.0,0.666450237
Papua New Guinea,1954.0,0.053056696
Paraguay,1954.0,0.112331233
Peru,1954.0,0.738968073
Philippines,1954.0,0.251610294
Poland,1954.0,5.496054218
Portugal,1954.0,0.674025642
Qatar,1954.0,17.91988066
Reunion,1954.0,0.129167107
Romania,1954.0,1.940252916
Russia,1954.0,5.162037329
Samoa,1954.0,0.120363278
Sao Tome and Principe,1954.0,0.062987076
Saudi Arabia,1954.0,0.359599264
