VtId,NameId,UpBytes,DownBytes,StatTime,DeviceName,
106,2914,21528225,483224830,1523773200,Dell_2,
106,2915,16092238,156046106,1523773200,Hp,
100,923,1319784,21542999,1523773200,Dell,
100,932,35768093,1346324780,1523773200,juniper,
100,923,1621982,29187070,1523773200,Dell,
100,2914,5570801,118286438,1523773200,Dell_2,
100,2915,11996130,134803471,1523773200,Hp,
100,923,4437991,147496094,1523773200,Dell,
100,932,7294496,174555538,1523773200,juniper,
100,923,6480932,64639018,1523773200,Dell,
101,2915,0,0,1523706900,Hp,
101,932,1,0,1523706900,juniper,
101,2914,1,0,1523706900,Dell_2,
100,932,2844316,43779826,1523706900,juniper,
100,2914,82376375,2492106128,1523706900,Dell_2,
100,2915,3536615,58259203,1523706900,Hp,
100,923,11016124,216485748,1523706900,Dell,
100,932,36285884,396390279,1523706900,juniper,
100,923,5458296,172546848,1523706900,Dell,
100,2914,18050175,369804144,1523706900,Dell_2,
100,2915,6649087,59784013,1523706900,Hp,
