Data Source,State,Technology,Year,Generation (MWh)
Historical,LA,bio,2010,2928734
Historical,LA,bio,2012,2897631
Historical,LA,bio,2014,1468932
Historical,LA,coal,2010,28397999
Historical,LA,coal,2012,25827716
Historical,LA,coal,2014,24561587
Historical,LA,gas,2010,51143155
Historical,LA,gas,2012,57763524
Historical,LA,gas,2014,53602403
Historical,LA,nuclear,2010,18639347
Historical,LA,nuclear,2012,15659132
Historical,LA,nuclear,2014,17311330
Historical,LA,oil,2010,644
Historical,LA,oil,2012,1194
Historical,LA,oil,2014,5815
Historical,LA,other,2010,666264
Historical,LA,other,2012,518468
Historical,LA,other,2014,434516
Historical,LA,water,2010,1311957
Historical,LA,water,2012,759148
Historical,LA,water,2014,1168004
Historical,MA,bio,2010,2039539
Historical,MA,bio,2012,2052342
Historical,MA,bio,2014,1185040
Historical,MA,coal,2010,8378713
Historical,MA,coal,2012,2305035
Historical,MA,coal,2014,2848864
Historical,MA,gas,2010,25101931
Historical,MA,gas,2012,24241262
Historical,MA,gas,2014,17186507
Historical,MA,nuclear,2010,5917813
Historical,MA,nuclear,2012,5859540
Historical,MA,nuclear,2014,5769154
Historical,MA,oil,2010,684569
Historical,MA,oil,2012,409422
Historical,MA,oil,2014,875651
Historical,MA,other,2010,0
Historical,MA,other,2012,0
Historical,MA,other,2014,0
Historical,MA,solar,2010,2623
Historical,MA,solar,2012,29614
Historical,MA,solar,2014,5983
Historical,MA,water,2010,1834762
Historical,MA,water,2012,2068587
Historical,MA,water,2014,1690500
Historical,MA,wind,2010,18518
Historical,MA,wind,2012,89674
Historical,MA,wind,2014,95197
Historical,MD,bio,2010,694831
Historical,MD,bio,2012,711917
Historical,MD,bio,2014,641185
Historical,MD,coal,2010,24204940
Historical,MD,coal,2012,16719013
Historical,MD,coal,2014,18042214
Historical,MD,gas,2010,1639697
Historical,MD,gas,2012,1830021
Historical,MD,gas,2014,1483427
Historical,MD,nuclear,2010,13993948
Historical,MD,nuclear,2012,13579266
Historical,MD,nuclear,2014,14343334
Historical,MD,oil,2010,1140997
Historical,MD,oil,2012,2819351
Historical,MD,oil,2014,506399
Historical,MD,other,2010,263881
Historical,MD,other,2012,149476
Historical,MD,other,2014,0
Historical,MD,solar,2010,0
Historical,MD,solar,2012,21080
Historical,MD,solar,2014,36084
Historical,MD,water,2010,1667397
Historical,MD,water,2012,1656539
Historical,MD,water,2014,1594647
Historical,MD,wind,2010,1494
Historical,MD,wind,2012,321686
Historical,MD,wind,2014,314338
Historical,ME,bio,2010,3506969
Historical,ME,bio,2012,3142020
Historical,ME,bio,2014,2615142
Historical,ME,coal,2010,603178
Historical,ME,coal,2012,622028
Historical,ME,coal,2014,588453
Historical,ME,gas,2010,8437101
Historical,ME,gas,2012,6515177
Historical,ME,gas,2014,4173492
Historical,ME,nuclear,2010,0
Historical,ME,nuclear,2012,0
Historical,ME,nuclear,2014,0
Historical,ME,oil,2010,161835
Historical,ME,oil,2012,59500
Historical,ME,oil,2014,253188
Historical,ME,other,2010,0
Historical,ME,other,2012,90048
Historical,ME,other,2014,0
Historical,ME,water,2010,3810378
Historical,ME,water,2012,3732608
Historical,ME,water,2014,1621268
Historical,ME,wind,2010,499196
Historical,ME,wind,2012,878458
Historical,ME,wind,2014,1010697
Historical,MI,bio,2010,2211606
Historical,MI,bio,2012,2513939
Historical,MI,bio,2014,789139
Historical,MI,coal,2010,63140857
Historical,MI,coal,2012,51593732
Historical,MI,coal,2014,50179094
Historical,MI,gas,2010,15993659
Historical,MI,gas,2012,24460078
Historical,MI,gas,2014,13361706
Historical,MI,nuclear,2010,29624580
Historical,MI,nuclear,2012,28019714
Historical,MI,nuclear,2014,31245848
Historical,MI,oil,2010,-7570
Historical,MI,oil,2012,5363
Historical,MI,oil,2014,3457
Historical,MI,solar,2010,0
Historical,MI,solar,2012,0
Historical,MI,solar,2014,0
Historical,MI,water,2010,3748130
Historical,MI,water,2012,3065800
Historical,MI,water,2014,2663197
Historical,MI,wind,2010,360339
Historical,MI,wind,2012,1131686
Historical,MI,wind,2014,3850626
Historical,MN,bio,2010,2052341
Historical,MN,bio,2012,2123013
Historical,MN,bio,2014,907051
Historical,MN,coal,2010,27748059
Historical,MN,coal,2012,22548129
Historical,MN,coal,2014,26759217
Historical,MN,gas,2010,4695668
Historical,MN,gas,2012,7264915
Historical,MN,gas,2014,3898043
Historical,MN,nuclear,2010,13478046
Historical,MN,nuclear,2012,11943790
Historical,MN,nuclear,2014,12707166
Historical,MN,oil,2010,11058
Historical,MN,oil,2012,35108
Historical,MN,oil,2014,169
Historical,MN,other,2010,27302
Historical,MN,other,2012,101945
Historical,MN,other,2014,0
Historical,MN,solar,2010,0
Historical,MN,solar,2012,0
Historical,MN,solar,2014,0
